Kode Saham,Nama Perusahaan,Score,Alert,Close,Vol Ratio,Up-Vol Bias,Brk Prox%,PosRange%,Fgn+Days%,VolCV,OBV+,10d Chg%,Pre30 Chg%,Net Fgn (M sh),Avg Val/day (B),Why
PTBA,Bukit Asam (Persero) Tbk.,94,STRONG,3140,2.39,2.02,98.1,92.0,80.0,0.51,YES,8.7,18.9,109.18,61.18,breakout-ready (98% of 20d high) · top of 52w range (92%) · foreign buying 80% of days · healthy volume (2.4x)
CFIN,Clipan Finance Indonesia Tbk.,93,STRONG,374,2.12,4.22,98.4,89.0,70.0,0.88,YES,3.3,5.2,0.65,0.74,breakout-ready (98% of 20d high) · top of 52w range (89%) · foreign buying 70% of days · healthy volume (2.1x)
TUGU,Asuransi Tugu Pratama Indonesia Tbk.,85,STRONG,1645,2.85,12.31,96.5,92.0,70.0,0.96,YES,22.3,9.3,4.15,2.34,breakout-ready (96% of 20d high) · top of 52w range (92%) · foreign buying 70% of days · OBV uptrend
SMDR,Samudera Indonesia  Tbk.,80,STRONG,398,3.45,6.43,97.5,66.0,70.0,0.67,YES,14.4,18.4,51.91,3.88,breakout-ready (98% of 20d high) · foreign buying 70% of days · OBV uptrend · strong accumulation (6.4x up/down)
UVCR,Trimegah Karya Pratama Tbk.,71,STRONG,174,2.03,1.49,98.3,60.0,60.0,0.58,YES,17.6,-1.3,22.39,5.98,breakout-ready (98% of 20d high) · foreign buying 60% of days · healthy volume (2.0x) · OBV uptrend
NEST,Esta Indonesia Tbk.,70,STRONG,730,1.86,2.01,95.4,91.0,40.0,0.75,YES,-0.7,23.5,-0.54,3.4,breakout-ready (95% of 20d high) · top of 52w range (91%) · healthy volume (1.9x) · OBV uptrend
PKPK,Paragon Karya Perkasa Tbk.,70,STRONG,4300,2.72,3.11,89.8,89.0,80.0,1.03,YES,15.3,-4.6,1.4,3.81,top of 52w range (89%) · foreign buying 80% of days · OBV uptrend · strong accumulation (3.1x up/down)
BNGA,Bank CIMB Niaga Tbk.,69,WATCH,1735,1.66,3.84,98.3,61.0,50.0,0.52,YES,1.8,3.0,-0.45,3.26,breakout-ready (98% of 20d high) · OBV uptrend · strong accumulation (3.8x up/down)
FORU,Fortune Indonesia Tbk,28,RADAR,3540,4.37,0.72,64.4,57.0,60.0,0.44,no,9.9,-3.6,-0.17,3.7,foreign buying 60% of days · sustained volume (no single spike)
