Kode Saham,Nama Perusahaan,Score,Alert,Close,Vol Ratio,Up-Vol Bias,Brk Prox%,PosRange%,Fgn+Days%,VolCV,OBV+,10d Chg%,Pre30 Chg%,Net Fgn (M sh),Avg Val/day (B),Why
BFIN,BFI Finance  Indonesia Tbk.,75,STRONG,915,1.69,3.81,98.4,87.0,20.0,0.86,YES,16.6,25.6,-19.05,12.29,breakout-ready (98% of 20d high) · top of 52w range (87%) · OBV uptrend · strong accumulation (3.8x up/down)
PRIM,Royal Prima Tbk.,70,STRONG,102,1.51,3.55,92.7,76.0,60.0,0.9,YES,10.9,22.7,6.79,0.66,near breakout (93%) · top of 52w range (76%) · foreign buying 60% of days · OBV uptrend
AKRA,AKR Corporindo Tbk.,60,STRONG,1465,1.51,1.28,96.4,75.0,70.0,0.72,no,8.1,11.1,57.85,23.77,breakout-ready (96% of 20d high) · top of 52w range (75%) · foreign buying 70% of days
SRTG,Saratoga Investama Sedaya Tbk.,63,WATCH,1785,1.61,1.41,99.2,57.0,80.0,0.58,no,4.4,24.4,15.34,5.05,breakout-ready (99% of 20d high) · foreign buying 80% of days
BULL,Buana Lintas Lautan Tbk.,59,RADAR,454,2.2,1.85,95.0,59.0,50.0,0.51,YES,25.4,21.5,82.79,80.91,near breakout (95%) · healthy volume (2.2x) · OBV uptrend
MBSS,Mitrabahtera Segara Sejati Tbk.,39,RADAR,2840,1.61,1.73,96.3,58.0,40.0,0.92,no,10.9,11.3,-0.1,3.74,breakout-ready (96% of 20d high)
VKTR,VKTR Teknologi Mobilitas Tbk.,31,RADAR,730,1.8,1.45,81.1,52.0,50.0,0.64,no,3.5,16.5,13.57,36.38,healthy volume (1.8x)
